Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2022-10-25,16.4,18.654081677873926,14.14591832212607
2022-10-26,16.476,18.5927343268646,14.359265673135395
2022-10-27,16.567500000000003,18.482261219138415,14.65273878086159
2022-10-28,16.6485,18.330369573765612,14.966630426234385
2022-10-31,16.6485,18.330369573765612,14.966630426234385
2022-11-01,16.591,18.43817023978232,14.74382976021768
2022-11-03,16.555500000000002,18.50796106504764,14.603038934952368
2022-11-04,16.4495,18.69586759423334,14.203132405766661
2022-11-07,16.2875,18.888081918684758,13.686918081315245
2022-11-08,16.1315,18.987174130016015,13.275825869983985
2022-11-09,15.974,19.07627352962826,12.871726470371739
2022-11-10,15.803000000000003,19.171967357014935,12.43403264298507
2022-11-11,15.63,19.121390915712016,12.138609084287985
2022-11-14,15.488,19.042019814534783,11.933980185465217
2022-11-16,15.332999999999998,18.954416413795276,11.711583586204721
2022-11-17,15.157999999999998,18.77850069232951,11.537499307670485
2022-11-18,14.941500000000001,18.46366605006225,11.419333949937753
2022-11-21,14.701000000000002,17.95608444388816,11.445915556111846
2022-11-22,14.424000000000001,17.128144187996316,11.719855812003686
2022-11-23,14.236,16.691613547514635,11.780386452485368
2022-11-24,14.088999999999999,16.270307188965397,11.907692811034599
2022-11-25,13.950999999999999,15.889734258818454,12.012265741181544
2022-11-28,13.821000000000002,15.386750534677432,12.25524946532257
2022-11-29,13.729500000000002,14.867910248872258,12.591089751127745
2022-11-30,13.743,14.94024420408331,12.54575579591669
2022-12-01,13.725,14.862115464211053,12.587884535788946
2022-12-02,13.713999999999999,14.807490788833498,12.6205092111665
2022-12-05,13.735999999999999,14.87553637848701,12.596463621512989
2022-12-06,13.787,14.97062689711729,12.603373102882712
2022-12-07,13.8245,15.0291834045772,12.619816595422801
2022-12-08,13.857,15.045012050266958,12.66898794973304
2022-12-09,13.907,15.021499651720344,12.792500348279656
2022-12-12,13.913,15.017480825880378,12.808519174119622
2022-12-13,13.884,15.033817376804055,12.734182623195945
2022-12-14,13.817000000000002,15.196673493029776,12.437326506970228
2022-12-15,13.7655,15.266551911862416,12.264448088137582
2022-12-16,13.725999999999999,15.320614620989735,12.131385379010263
2022-12-19,13.693499999999997,15.349141392649138,12.037858607350856
2022-12-20,13.685999999999998,15.352378361029034,12.019621638970962
2022-12-21,13.690000000000001,15.352452215379921,12.027547784620081
2022-12-22,13.682500000000001,15.345735591123368,12.019264408876634
2022-12-23,13.718,15.395085190693262,12.040914809306738
2022-12-26,13.7345,15.420622615258086,12.048377384741915
2022-12-27,13.726999999999999,15.40271006159385,12.051289938406146
2022-12-28,13.6745,15.233453427615538,12.115546572384462
2022-12-29,13.6435,15.159065206362758,12.127934793637241
2023-01-02,13.559000000000001,15.023526508717884,12.094473491282118
2023-01-03,13.466,14.915070845676642,12.016929154323357
2023-01-04,13.392499999999998,14.765746250007052,12.019253749992945
2023-01-05,13.351000000000003,14.651945405222282,12.050054594777723
2023-01-06,13.3215,14.5847835244546,12.0582164755454
2023-01-09,13.297999999999998,14.526719487494157,12.06928051250584
2023-01-10,13.303,14.53649908796097,12.069500912039032
2023-01-11,13.3305,14.57783779664849,12.083162203351511
2023-01-12,13.420000000000002,14.563217988146443,12.27678201185356
2023-01-13,13.491500000000002,14.561045402692939,12.421954597307066
2023-01-16,13.5475,14.505521535853156,12.589478464146843
2023-01-17,13.636500000000002,14.577949610134073,12.69505038986593
2023-01-18,13.693000000000001,14.621793218163123,12.76420678183688
2023-01-19,13.756499999999999,14.754735812242101,12.758264187757897
2023-01-20,13.823999999999998,14.944251851382917,12.703748148617079
2023-01-23,13.871500000000001,15.132398176113702,12.6106018238863
2023-01-24,13.9185,15.282677407817818,12.554322592182181
